annual_return,calmar_ratio,decision,error,exchange,expectancy,fee,fee_rate,finish,gross_loss,gross_profit,leverage,longs_count,max_drawdown,net_profit,net_profit_percentage,open_pl,profit_factor,sharpe_ratio,shorts_count,sortino_ratio,start,status,strategy,symbol,timeframe,total,total_open_trades,win_rate
-56.15348709424928,-2.131858173168102,reject: non-positive expectancy after fees,,Binance Perpetual Futures,-64.70378100036746,1412.372840702103,0.001,2024-06-01,-6085.474955200411,4209.065306189756,3,13,-26.34016080478795,-1876.4096490106556,-18.764096490106557,0.0,0.6916576499247361,-1.7125980494824917,16,-2.137215406643507,2024-03-01,ok,KAMA_TrendFollowing,BTC-USDT,15m,29,0,0.5517241379310345
-80.09694459825309,-2.122217762108765,reject: non-positive expectancy after fees,,Binance Perpetual Futures,-159.18258918753568,947.4124919174058,0.001,2024-06-01,-5789.290632385013,2446.4562594467643,3,8,-37.7420950989798,-3342.8343729382473,-33.42834372938247,0.0,0.4225830787905872,-3.30583195477606,13,-3.929077825519611,2024-03-01,ok,KAMA_TrendFollowing,ETH-USDT,15m,21,0,0.38095238095238093
-39.63281759048294,-1.7035190992605915,reject: non-positive expectancy after fees,,Binance Perpetual Futures,-91.89117213615236,716.1975617504097,0.001,2024-06-01,-3447.6339256751917,2253.0486879052105,3,10,-23.265261661982816,-1194.5852377699814,-11.945852377699815,0.0,0.6535057771436591,-1.4309067204281611,3,-1.9419799649678722,2024-03-01,ok,KamaPullbackReclaim,BTC-USDT,15m,13,0,0.5384615384615384
94.21136522659606,6.15987501787012,"revise: positive slice, needs route robustness",,Binance Perpetual Futures,182.11847661761055,613.6091015013458,0.001,2024-06-01,-1702.760267006125,3523.945033182231,3,5,-15.294363108550735,1821.1847661761058,18.21184766176106,0.0,2.069548545068062,2.1703654441571687,5,3.832890268004807,2024-03-01,ok,KamaPullbackReclaim,ETH-USDT,15m,10,0,0.7
-45.74586770749269,-2.690738097011863,reject: non-positive expectancy after fees,,Binance Perpetual Futures,-44.63711553001686,554.3089862200582,0.001,2024-06-01,-3509.0557554358074,2080.668058475268,3,10,-17.001233883853175,-1428.3876969605392,-14.28387696960539,0.0,0.5929424333746043,-3.2485119927870745,22,-4.023735352645619,2024-03-01,ok,SuperScalper,BTC-USDT,15m,32,0,0.40625
14.51791092360073,1.6180720608794086,"revise: positive slice, needs route robustness",,Binance Perpetual Futures,11.586424308759987,545.4723759293595,0.001,2024-06-01,-3289.5630180580692,3637.1557473208686,3,11,-8.972351278168889,347.59272926279925,3.475927292627993,0.0,1.105665320091054,0.6522551531426445,19,1.1434152473820949,2024-03-01,ok,SuperScalper,ETH-USDT,15m,30,0,0.4666666666666667
-44.22019618593056,-3.035834482969408,reject: non-positive expectancy after fees,,Binance Perpetual Futures,-24.00457619233134,1017.7665611479008,0.001,2024-06-01,-2839.1131193919255,1470.8522764290392,3,16,-14.566076126349925,-1368.2608429628865,-13.682608429628864,0.0,0.5180675142468655,-4.164796309694394,41,-4.663978560337338,2024-03-01,ok,SuperScalperTimeStopScratch,BTC-USDT,15m,57,0,0.17543859649122806
-26.13303173711321,-1.9782149912273068,reject: non-positive expectancy after fees,,Binance Perpetual Futures,-15.313905634898518,845.1803710290069,0.001,2024-06-01,-2892.686664384469,2157.6191939093405,3,18,-13.210410320922694,-735.067470475128,-7.350674704751279,0.0,0.7458876277456955,-1.2499641027542612,30,-2.0635398125854616,2024-03-01,ok,SuperScalperTimeStopScratch,ETH-USDT,15m,48,0,0.1875
213.15094212569898,18.82821788239534,"revise: positive slice, needs route robustness",,Binance Perpetual Futures,185.21651137824117,1162.8906780963466,0.001,2024-06-01,-2664.643850709196,5998.541055517537,3,5,-11.320824066147983,3333.89720480834,33.338972048083406,0.0,2.251160527107974,2.6394007149134997,13,4.483471891737792,2024-03-01,ok,TrendWaveRiderV2,BTC-USDT,15m,18,0,0.7777777777777778
-70.6872241678822,-2.3224719616143727,reject: non-positive expectancy after fees,,Binance Perpetual Futures,-115.6719486812357,1086.1688573906727,0.001,2024-06-01,-6576.366152832184,3915.9113331637614,3,8,-30.436201313167555,-2660.454819668422,-26.60454819668422,0.0,0.5954521451755437,-1.7349770657474632,15,-2.0515450793828345,2024-03-01,ok,TrendWaveRiderV2,ETH-USDT,15m,23,0,0.6086956521739131
