exchange,symbol,timeframe,strategy,start,finish,fee_rate,leverage,status,error,profit_factor,decision,net_profit,net_profit_percentage,annual_return,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,win_rate,total,expectancy,gross_profit,gross_loss,longs_count,shorts_count,total_open_trades,open_pl,fee
Binance Perpetual Futures,BTC-USDT,15m,TrendWaveRiderV2ShallowPullbackBand,2024-03-01,2024-06-01,0.001,1,error,child process failed with returncode 1: jesse.exceptions.InsufficientMargin: Cannot submit an order with a value of $-29820 when your available margin is $10000. Consider increasing leverage number from the settings or reducing the order size.,,blocked: runtime error,,,,,,,,,,,,,,,,,
Binance Perpetual Futures,ETH-USDT,15m,TrendWaveRiderV2ShallowPullbackBand,2024-03-01,2024-06-01,0.001,1,error,child process failed with returncode 1: jesse.exceptions.InsufficientMargin: Cannot submit an order with a value of $-29420 when your available margin is $10000. Consider increasing leverage number from the settings or reducing the order size.,,blocked: runtime error,,,,,,,,,,,,,,,,,
Binance Perpetual Futures,BTC-USDT,15m,TrendWaveRiderV2ShallowReducedRisk,2024-03-01,2024-06-01,0.001,1,ok,,1.7471499208491323,"revise: positive slice, needs route robustness",1311.11096259855,13.1111096259855,63.03329823469574,-5.591094464393775,2.2563727573066146,3.75415835380646,11.273874665526733,0.7419354838709677,31,42.293902019308085,3065.927400387206,-1754.8164377886555,10,21,0,0.0,636.9160047762786
Binance Perpetual Futures,ETH-USDT,15m,TrendWaveRiderV2ShallowReducedRisk,2024-03-01,2024-06-01,0.001,1,ok,,0.7671792834192658,reject: non-positive expectancy after fees,-704.9653814045842,-7.049653814045842,-25.176272528558165,-8.127526182760503,-1.2082501418902964,-1.5261922602926452,-3.097655050556488,0.6,30,-23.498846046819466,2322.966976840377,-3027.932358244961,11,19,0,0.0,568.2852715458924
