exchange,symbol,timeframe,strategy,start,finish,fee_rate,net_profit,net_profit_percentage,annual_return,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,win_rate,total,expectancy,gross_profit,gross_loss,longs_count,shorts_count,total_open_trades,fee,profit_factor,decision
Binance Perpetual Futures,BTC-USDT,1m,RangeBarBreakoutPullbackScalp,2024-01-01,2024-02-01,0.0004,-23.903275079999823,-0.23903275079999822,-2.7784575879120754,-0.2108102611926066,-12.636410088376293,-10.830436513398402,-13.179897279162992,0.0,97,-0.24642551628865797,0.0,-23.903275079999823,48,49,0,22.155375080000002,0.0,reject: non-positive expectancy after fees
Binance Perpetual Futures,ETH-USDT,1m,RangeBarBreakoutPullbackScalp,2024-01-01,2024-02-01,0.0004,-301.2078314337997,-3.0120783143379968,-29.963202502085494,-2.922501290932167,-24.503715112401114,-15.506006322881387,-10.252588286292381,0.2690548780487805,1312,-0.22957913981234734,61.31262326000058,-362.5204546938003,685,627,1,311.98959504800007,0.16912872767907056,reject: non-positive expectancy after fees
Binance Perpetual Futures,BTC-USDT,1m,RangeBarBollingerMeanReversion,2024-01-01,2024-02-01,0.0004,-236.16796101000017,-2.3616796101000017,-24.381539068057744,-2.2511161705812244,-52.00310721065224,-18.25505550344095,-10.830866654812658,0.0,1275,-0.1852297733411766,0.0,-236.16796101000017,626,649,0,229.49387976000003,0.0,reject: non-positive expectancy after fees
Binance Perpetual Futures,ETH-USDT,1m,RangeBarBollingerMeanReversion,2024-01-01,2024-02-01,0.0004,-391.63240537208276,-3.9163240537208273,-35.34873940745401,-3.5573162736554975,-35.46201385332277,-17.15085692027726,-9.936912179902873,0.36617100371747213,1614,-0.24264709130860146,114.3634933960004,-505.9958987680831,805,809,0,325.537587964,0.22601664099340352,reject: non-positive expectancy after fees
