exchange,symbol,timeframe,regime,start,finish,base_fee,slippage_bps,effective_fee,net_profit,net_profit_percentage,annual_return,max_drawdown,sharpe_ratio,sortino_ratio,calmar_ratio,win_rate,total,expectancy,longs_count,shorts_count,total_open_trades,open_pl,fee,decision
Binance Perpetual Futures,BTC-USDT,1h,uptrend,2023-10-01,2024-03-15,0.0004,0.0,0.0004,3.0452697444008607,0.03045269744400861,0.06697146688077193,-0.018145477484776684,1.4812135885096958,3.148671661669791,3.6908076371623872,0.4,30,0.1015089914800287,22,8,0,0.0,1.0661021111362818,keep as baseline control
Binance Perpetual Futures,BTC-USDT,1h,uptrend,2023-10-01,2024-03-15,0.0004,2.0,0.0006000000000000001,3.0452697444008607,0.03045269744400861,0.055246861516233814,-0.019434229885761933,1.2293844419709796,2.4951071692458693,2.8427605231071813,0.4,30,0.1015089914800287,22,8,0,0.0,1.0661021111362818,keep as baseline control
Binance Perpetual Futures,BTC-USDT,1h,uptrend,2023-10-01,2024-03-15,0.0008,0.0,0.0008,3.0452697444008607,0.03045269744400861,0.04352300516405894,-0.020723071030126494,0.9733929167817595,1.89009151153644,2.1002198516227,0.4,30,0.1015089914800287,22,8,0,0.0,1.0661021111362818,keep as baseline control
Binance Perpetual Futures,BTC-USDT,1h,uptrend,2023-10-01,2024-03-15,0.0008,2.0,0.001,3.0452697444008607,0.03045269744400861,0.03179989781703085,-0.022012000926829867,0.7140273306416004,1.329239412033024,1.4446618425438447,0.4,30,0.1015089914800287,22,8,0,0.0,1.0661021111362818,keep as baseline control
Binance Perpetual Futures,BTC-USDT,1h,choppy,2024-03-15,2024-06-15,0.0004,0.0,0.0004,-0.06659903753414437,-0.0006659903753414437,-0.002642218315274114,-0.01907698947795078,-0.06391003341520557,-0.11015066344181644,-0.13850289734279064,0.2777777777777778,18,-0.0036999465296746747,5,13,0,0.0,0.47075770778351655,reject: negative/flat net
Binance Perpetual Futures,BTC-USDT,1h,choppy,2024-03-15,2024-06-15,0.0004,2.0,0.0006000000000000001,-0.06571329126929909,-0.0006571329126929909,-0.01194384751491695,-0.020020036786239093,-0.28928281439790793,-0.48369463370529103,-0.5965946837383752,0.2777777777777778,18,-0.00365073840384994,5,13,0,0.0,0.47070111944668774,reject: negative/flat net
Binance Perpetual Futures,BTC-USDT,1h,choppy,2024-03-15,2024-06-15,0.0008,0.0,0.0008,-0.06571329126929909,-0.0006571329126929909,-0.021279964990061906,-0.020963084094582918,-0.5146522485616687,-0.835591388389301,-1.0151161391162322,0.2777777777777778,18,-0.00365073840384994,5,13,0,0.0,0.47070111944668774,reject: negative/flat net
Binance Perpetual Futures,BTC-USDT,1h,choppy,2024-03-15,2024-06-15,0.0008,2.0,0.001,-0.06571329126929909,-0.0006571329126929909,-0.030615430439362434,-0.02190613140291564,-0.7388330183751033,-1.166139136712126,-1.397573577746713,0.2777777777777778,18,-0.00365073840384994,5,13,0,0.0,0.47070111944668774,reject: negative/flat net
Binance Perpetual Futures,BTC-USDT,1h,downtrend,2024-06-15,2024-09-15,0.0004,0.0,0.0004,-0.7947337930095683,-0.007947337930095683,-0.03152648172870531,-0.01878471745637711,-0.8851619568717314,-1.4883583379894587,-1.678304813576133,0.29411764705882354,17,-0.04674904664762164,9,8,0,0.0,0.508277880235743,reject: negative/flat net
Binance Perpetual Futures,BTC-USDT,1h,downtrend,2024-06-15,2024-09-15,0.0004,2.0,0.0006000000000000001,-0.7947337930095683,-0.007947337930095683,-0.041606410223216095,-0.020762927038842083,-1.17604612614272,-1.9152099316371443,-2.003879806800902,0.29411764705882354,17,-0.04674904664762164,9,8,0,0.0,0.508277880235743,reject: negative/flat net
Binance Perpetual Futures,BTC-USDT,1h,downtrend,2024-06-15,2024-09-15,0.0008,0.0,0.0008,-0.7947337930095683,-0.007947337930095683,-0.05168557850893096,-0.022741158896932845,-1.4694283678405424,-2.3196033713227386,-2.2727768071618337,0.29411764705882354,17,-0.04674904664762164,9,8,0,0.0,0.508277880235743,reject: negative/flat net
Binance Perpetual Futures,BTC-USDT,1h,downtrend,2024-06-15,2024-09-15,0.0008,2.0,0.001,-0.7947337930095683,-0.007947337930095683,-0.06176398662435245,-0.02471941303121561,-1.764483119835619,-2.7025048427338416,-2.498602476780377,0.29411764705882354,17,-0.04674904664762164,9,8,0,0.0,0.508277880235743,reject: negative/flat net
Binance Perpetual Futures,ETH-USDT,1h,uptrend,2023-10-01,2024-03-15,0.0004,0.0,0.0004,-1.9833870516198888,-0.01983387051619889,-0.043605434380622476,-0.033012989575065266,-1.368578383701424,-1.9373178194105984,-1.3208568791224438,0.3448275862068966,29,-0.06839265695240995,19,10,0,0.0,0.7793593547424773,reject: negative/flat net
Binance Perpetual Futures,ETH-USDT,1h,uptrend,2023-10-01,2024-03-15,0.0004,2.0,0.0006000000000000001,-1.9834353960059197,-0.019834353960059194,-0.05217243305505326,-0.03514716022987585,-1.6206559305626727,-2.238205415266815,-1.4843996702386657,0.3448275862068966,29,-0.06839432400020412,19,10,0,0.0,0.7793516531112705,reject: negative/flat net
Binance Perpetual Futures,ETH-USDT,1h,uptrend,2023-10-01,2024-03-15,0.0008,0.0,0.0008,-1.983428914498933,-0.01983428914498933,-0.06073759833582493,-0.03728156925497661,-1.866063848511853,-2.517785640381576,-1.6291588457671278,0.3448275862068966,29,-0.06839410049996314,19,10,0,0.0,0.7793412827092285,reject: negative/flat net
Binance Perpetual Futures,ETH-USDT,1h,uptrend,2023-10-01,2024-03-15,0.0008,2.0,0.001,-1.9833855038149888,-0.01983385503814989,-0.06930118118516626,-0.03941529433212354,-2.104564366616835,-2.777618761148668,-1.7582307162599484,0.3448275862068966,29,-0.06839260357982715,19,10,0,0.0,0.7793265869319809,reject: negative/flat net
